episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,263,1,"00:14:59,430","00:15:03,010",ARMAND,But I sensed his ancient power right away.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.26; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,264,1,"00:15:03,069","00:15:05,950",ARMAND,He was... awkward.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,265,1,"00:15:06,000","00:15:08,750",LOUIS DE POINTE DU LAC,"His attempt to blend in as some layman,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,266,1,"00:15:08,800","00:15:12,430",LOUIS DE POINTE DU LAC,"thinking he could fade into the landscape, it was absurd.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,267,1,"00:15:12,480","00:15:13,690",DANIEL MOLLOY,I mean...,uncertain,best contextual candidate from text-only sources,recognition_margin=0.97; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,268,1,"00:15:14,620","00:15:17,500",ARMAND,he was alarmingly handsome in the muted lamplight.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.22; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,269,1,"00:15:19,280","00:15:21,050",ARMAND,I thought he was going to kill me.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.02; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | SANTIAGO
S02E02,270,1,"00:15:28,020","00:15:29,540",DANIEL MOLLOY,So?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.66; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,271,1,"00:15:30,720","00:15:33,420",LOUIS DE POINTE DU LAC,Yeah?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.95; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,271,2,"00:15:30,720","00:15:33,420",ARMAND,Who broke the ice?,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | CLAUDIA
